policy_name,shield_mode,scenario,service_quality,mitigation_efficiency,attack_leakage,collateral_damage,rolling_service_quality,rolling_collateral_damage,sla_violation_count,rolling_sla_violation_count,cumulative_sla_violation_count,instantaneous_shield_repair_count,temporal_shield_repair_count,total_shield_repair_count,mean_raw_action,mean_final_action,action_reduction_due_to_temporal_shield,dynamic_max_action_mean,latency_mean_ms,latency_p95_ms
Edge-Riding Stress Policy,Temporal Runtime Shield,long_sustained_attack,0.9791,0.17694999301433567,0.8230500069856643,0.0209,0.9788720641136169,0.02112799927778542,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.01599346483514334,0.01999999294639565
Edge-Riding Stress Policy,Temporal Runtime Shield,low_and_slow,0.98004997,0.13122500181198116,0.8687749981880188,0.019949999,0.9798220638036728,0.020177999308332802,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.014818844894762151,0.01755029879859644
Edge-Riding Stress Policy,Temporal Runtime Shield,mixed_attack_shift,0.9791,0.176949994623661,0.823050005376339,0.0209,0.9788720641136169,0.02112799927778542,0,0.0,0,0,0,0,0.095,0.095,0.0,1.0,0.02604484008043073,0.032502049725735546
PPO C1 Policy,Instantaneous Runtime Shield,clean_benign,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.11297937528676509,0.17326045926893124
PPO C1 Policy,Instantaneous Runtime Shield,flash_crowd,0.9884076,1.0,0.0,0.011592333,0.98840767121315,0.011592334108776413,402,402.0,25,0,0,0,0.028980834,0.028980834,0.0,1.0,0.11020139106161271,0.1660628091485704
PPO C1 Policy,Instantaneous Runtime Shield,long_sustained_attack,0.8202,0.9090999786083896,0.09090002139161031,0.1798,0.8226000094413757,0.17740000262949615,2697,2661.0,25,0,0,0,0.899,0.899,0.0,1.0,0.11499972806874818,0.1721961336443199
PPO C1 Policy,Instantaneous Runtime Shield,low_and_slow,1.0,0.050000000000000044,0.95,0.0,1.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.1107616301451344,0.1585893034643959
PPO C1 Policy,Instantaneous Runtime Shield,mixed_attack_shift,0.8419295,0.8113171852131684,0.18868281478683155,0.15807049,0.8443295088211695,0.15567049270961433,2697,2661.0,25,0,0,0,0.79035246,0.79035246,0.0,1.0,0.18963956572891524,0.325012514804257
PPO C1 Policy,No Shield,clean_benign,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.11165232124039903,0.17219824803760259
PPO C1 Policy,No Shield,flash_crowd,0.9884076,1.0,0.0,0.011592333,0.98840767121315,0.011592334108776413,402,402.0,25,0,0,0,0.028980834,0.028980834,0.0,1.0,0.1276889487344306,0.17779310655896483
PPO C1 Policy,No Shield,long_sustained_attack,0.8202,0.9090999786083896,0.09090002139161031,0.1798,0.8226000094413757,0.17740000262949615,2697,2661.0,25,0,0,0,0.899,0.899,0.0,1.0,0.11580656327229615,0.16905325173865973
PPO C1 Policy,No Shield,low_and_slow,1.0,0.050000000000000044,0.95,0.0,1.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.11309878948668484,0.1769690905348395
PPO C1 Policy,No Shield,mixed_attack_shift,0.8419295,0.8113171852131684,0.18868281478683155,0.15807049,0.8443295088211695,0.15567049270961433,2697,2661.0,25,0,0,0,0.79035246,0.79035246,0.0,1.0,0.11559208270045929,0.1806711537938099
PPO C1 Policy,Temporal Runtime Shield,clean_benign,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.11100374835465725,0.1613024018297437
PPO C1 Policy,Temporal Runtime Shield,flash_crowd,0.9938608,1.0,0.0,0.006139217,0.993860785206159,0.006139216369910476,34,34.0,2,0,392,392,0.027361237,0.0153480405,0.012013196483254433,0.8708,0.11026452895991194,0.15674343958380613
PPO C1 Policy,Temporal Runtime Shield,long_sustained_attack,0.97771007,0.20030499376356603,0.799695006236434,0.02229,0.9779896366000176,0.022010400024242698,210,207.48000000000002,2,0,2487,2487,0.899,0.11145,0.7875499901175499,0.21245,0.11421254506179442,0.16057340253610144
PPO C1 Policy,Temporal Runtime Shield,low_and_slow,1.0,0.050000000000000044,0.95,0.0,1.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.13644212349997056,0.30599875171901636
PPO C1 Policy,Temporal Runtime Shield,mixed_attack_shift,0.9797283,0.19122273276001212,0.8087772672399879,0.02027172,0.9800078924298287,0.01999212001139919,210,207.48000000000002,2,0,2487,2487,0.7678165,0.1013586,0.6664578984777133,0.21245,0.11734824541781563,0.17254405029234476
Sustained Moderate Stress Policy,Instantaneous Runtime Shield,clean_benign,0.968,1.0,0.0,0.032,0.9680000538229943,0.03200000151991844,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.014755148605521148,0.019048182002734358
Sustained Moderate Stress Policy,Instantaneous Runtime Shield,flash_crowd,0.968,1.0,0.0,0.032,0.9680000538229943,0.03200000151991844,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.013958477133807415,0.016916995082283393
Sustained Moderate Stress Policy,Instantaneous Runtime Shield,long_sustained_attack,0.9824,0.1647999976078669,0.8352000023921331,0.017600002,0.9822080287337304,0.017792000818997622,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.0163765436882386,0.020250058878445998
Sustained Moderate Stress Policy,Instantaneous Runtime Shield,low_and_slow,0.9832,0.11840002536773686,0.8815999746322631,0.016800001,0.9830080273747445,0.01699200078099966,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.014745134578940148,0.01812403861549683
Sustained Moderate Stress Policy,Instantaneous Runtime Shield,mixed_attack_shift,0.9824,0.1647999979257584,0.8352000020742416,0.017600002,0.9822080287337304,0.017792000818997622,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.01624750109719268,0.019461046758806323
Sustained Moderate Stress Policy,No Shield,clean_benign,0.968,1.0,0.0,0.032,0.9680000538229943,0.03200000151991844,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.01342980592259361,0.01629520047572439
Sustained Moderate Stress Policy,No Shield,flash_crowd,0.968,1.0,0.0,0.032,0.9680000538229943,0.03200000151991844,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.013337734975114776,0.016207996668526903
Sustained Moderate Stress Policy,No Shield,long_sustained_attack,0.9824,0.1647999976078669,0.8352000023921331,0.017600002,0.9822080287337304,0.017792000818997622,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.015577753836017413,0.019582979439292103
Sustained Moderate Stress Policy,No Shield,low_and_slow,0.9832,0.11840002536773686,0.8815999746322631,0.016800001,0.9830080273747445,0.01699200078099966,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.01372031199086147,0.015999051538528875
Sustained Moderate Stress Policy,No Shield,mixed_attack_shift,0.9824,0.1647999979257584,0.8352000020742416,0.017600002,0.9822080287337304,0.017792000818997622,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.01539993924961891,0.018962152535095787
Sustained Moderate Stress Policy,Temporal Runtime Shield,clean_benign,0.968,1.0,0.0,0.032,0.9680000538229943,0.03200000151991844,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.01425151020521298,0.017335053416900326
Sustained Moderate Stress Policy,Temporal Runtime Shield,flash_crowd,0.968,1.0,0.0,0.032,0.9680000538229943,0.03200000151991844,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.014292151245172136,0.016503049118909974
Sustained Moderate Stress Policy,Temporal Runtime Shield,long_sustained_attack,0.9824,0.1647999976078669,0.8352000023921331,0.017600002,0.9822080287337304,0.017792000818997622,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.01633064782557388,0.019879141473211324
Sustained Moderate Stress Policy,Temporal Runtime Shield,low_and_slow,0.9832,0.11840002536773686,0.8815999746322631,0.016800001,0.9830080273747445,0.01699200078099966,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.014786987390834838,0.017625003238208592
Sustained Moderate Stress Policy,Temporal Runtime Shield,mixed_attack_shift,0.9824,0.1647999979257584,0.8352000020742416,0.017600002,0.9822080287337304,0.017792000818997622,0,0.0,0,0,0,0,0.08,0.08,0.0,1.0,0.026229002163745463,0.057296132581541294
